Verb,Tense,Subject
খাওয়াইল,Past,3rd_f
খাওয়াইলাম,Past,1st
খাওয়াইলি,Past,1st
খাওয়াইলে,Past,2nd_f
খাওয়াইলেন,Past,pol_f
খাওয়াও,Present,2nd_f
খাওয়াক,Present,3rd_f
খাওয়াচ্ছ,Present,2nd_f
খাওয়াচ্ছি,Present,1st
খাওয়াচ্ছিল,Past,3rd_f
খাওয়াচ্ছিলাম,Past,1st
খাওয়াচ্ছিলি,Past,1st
খাওয়াচ্ছিলুম,Past,1st
খাওয়াচ্ছিলে,Past,2nd_f
খাওয়াচ্ছিলেন,Past,pol_f
খাওয়াচ্ছিলেম,Past,1st
খাওয়াচ্ছিস,Present,2nd_i
খাওয়াচ্ছে,Present,3rd_f
খাওয়াচ্ছেন,Present,pol_f
খাওয়াত,Past,3rd_f
খাওয়াতাম,Past,1st
খাওয়াতিস,Past,2nd_i
খাওয়াতুম,Past,1st
খাওয়াতে,Past,2nd_f
খাওয়াতেন,Past,pol_f
খাওয়াতেম,Past,1st
খাওয়ান,Present,pol_f
খাওয়ানো,Present,obj_f
খাওয়াব,Future,1st
খাওয়াবার,Present,404_f
খাওয়াবি,Future,1st
খাওয়াবে,Future,2nd_f
খাওয়াবেন,Future,pol_f
খাওয়াবো,Future,1st
খাওয়ায়,Present,3rd_f
খাওয়াল,Past,3rd_f
খাওয়ালাম,Past,1st
খাওয়ালি,Past,1st
খাওয়ালুম,Past,1st
খাওয়ালে,Past,2nd_f
খাওয়ালেন,Past,pol_f
খাওয়ালেম,Past,1st
খাওয়াস,Present,2nd_i
খাক,Present,3rd_f
খাচ্ছ,Present,2nd_f
খাচ্ছি,Present,1st
খাচ্ছিল,Past,3rd_f
খাচ্ছিলাম,Past,1st
খাচ্ছিলি,Past,1st
খাচ্ছিলুম,Past,1st
খাচ্ছিলে,Past,2nd_f
খাচ্ছিলেন,Past,pol_f
খাচ্ছিলেম,Past,1st
খাচ্ছিস,Present,2nd_i
খাচ্ছে,Present,3rd_f
খাচ্ছেন,Present,pol_f
গাই,Present,1st
গাইও,Present,2nd_f
গাইছ,Present,2nd_f
গাইছি,Present,1st
গাইছিল,Past,3rd_f
গাইছিলাম,Past,1st
গাইছিলি,Past,1st
গাইছিলুম,Past,1st
গাইছিলে,Past,2nd_f
গাইছিলেন,Past,pol_f
গাইছিলেম,Past,1st
গাইছিস,Present,2nd_i
গাইছে,Present,3rd_f
গাইছেন,Present,pol_f
গাইত,Past,3rd_f
গাইতাম,Past,1st
গাইতিস,Past,2nd_i
গাইতুম,Past,1st
গাইতে,Past,2nd_f
গাইতেছিল,Past,3rd_f
গাইতেছিলাম,Past,1st
গাইতেছিলি,Past,1st
গাইতেছিলুম,Past,1st
গাইতেছিলে,Past,2nd_f
গাইতেছিলেন,Past,pol_f
গাইতেছিলেম,Past,1st
গাইতেন,Past,pol_f
গাইতেম,Past,1st
গাইব,Future,1st
গাইবার,Present,404_f
গাইবি,Future,1st
গাইবে,Future,2nd_f
গাইবেন,Future,pol_f
গাইবো,Future,1st
গাইয়ে,Participle,404_f
গাইয়েছ,Present,2nd_f
গাইয়েছি,Present,1st
গাইয়েছিল,Past,3rd_f
গাইয়েছিলাম,Past,1st
গাইয়েছিলি,Past,1st
গাইয়েছিলুম,Past,1st
গাইয়েছিলে,Past,2nd_f
গাইয়েছিলেন,Past,pol_f
গাইয়েছিলেম,Past,1st
গাইয়েছিস,Present,2nd_i
গাইয়েছে,Present,2nd_f
গাইয়েছেন,Present,pol_f
গাইয়ো,Present,2nd_f
গাইল,Past,3rd_f
গাইলাম,Past,1st
গাইলি,Past,1st
গাইলুম,Past,1st
গাইলে,Past,2nd_f
গাইলেন,Past,pol_f
গাইলেম,Past,1st
গাও,Present,2nd_f
গাওয়া,Base,pos_f
গাওয়াই,Present,1st
গাওয়াও,Present,2nd_f
গাওয়াক,Present,3rd_f
গাওয়াচ্ছ,Present,2nd_f
গাওয়াচ্ছি,Present,1st
গাওয়াচ্ছিল,Past,3rd_f
গাওয়াচ্ছিলাম,Past,1st
গাওয়াচ্ছিলি,Past,1st
গাওয়াচ্ছিলুম,Past,1st
গাওয়াচ্ছিলে,Past,2nd_f
গাওয়াচ্ছিলেন,Past,pol_f
গাওয়াচ্ছিলেম,Past,1st
গাওয়াচ্ছিস,Present,2nd_i
গাওয়াচ্ছে,Present,3rd_f
গাওয়াচ্ছেন,Present,pol_f
গাওয়াত,Past,3rd_f
গাওয়াতাম,Past,1st
গাওয়াতিস,Past,2nd_i
গাওয়াতুম,Past,1st
গাওয়াতে,Past,2nd_f
গাওয়াতেন,Past,pol_f
গাওয়াতেম,Past,1st
গাওয়ান,Present,pol_f
গাওয়ানো,Present,obj_f
গাওয়াব,Future,1st
গাওয়াবার,Present,404_f
গাওয়াবি,Future,1st
গাওয়াবে,Future,2nd_f
গাওয়াবেন,Future,pol_f
গাওয়াবো,Future,1st
গাওয়ায়,Present,3rd_f
গাওয়ার,Present,404_f
গাওয়াল,Past,3rd_f
গাওয়ালাম,Past,1st
গাওয়ালি,Past,1st
গাওয়ালুম,Past,1st
গাওয়ালে,Past,2nd_f
গাওয়ালেন,Past,pol_f
গাওয়ালেম,Past,1st
গাওয়াস,Present,2nd_i
গাক,Present,3rd_f
গাচ্ছিল,Past,3rd_f
গাচ্ছিলাম,Past,1st
গাচ্ছিলি,Past,1st
গাচ্ছিলুম,Past,1st
গাচ্ছিলে,Past,2nd_f
গাচ্ছিলেন,Past,pol_f
গাচ্ছিলেম,Past,1st
চল,Root,2nd_i
চলা,Base,pos_f
চলান,Present,pol_f
চলানো,Present,obj_f
চলার,Present,404_f
চলি,Past,1st
চলিও,Present,2nd_f
চলিত,Past,3rd_f
চলিতাম,Past,1st
চলিতিস,Past,2nd_i
চলিতে,Past,2nd_f
চলিতেছ,Present,2nd_f
চলিতেছি,Present,1st
চলিতেছিল,Past,3rd_f
চলিতেছিলাম,Past,1st
চলিতেছিলি,Past,1st
চলিতেছিলে,Past,2nd_f
চলিতেছিলেন,Past,pol_f
চলিতেছিস,Present,2nd_i
চলিতেছে,Present,2nd_f
চলিতেছেন,Present,pol_f
চলিতেন,Past,pol_f
চলিব,Future,1st
চলিবার,Present,404_f
চলিবি,Future,1st
চলিবে,Future,2nd_f
চলিবেন,Future,pol_f
চলিয়া,Participle,404_f
চলিয়াছ,Present,2nd_f
চলিয়াছি,Present,1st
চলিয়াছিল,Past,3rd_f
চলিয়াছিলাম,Past,1st
চলিয়াছিলি,Past,1st
চলিয়াছিলে,Past,2nd_f
চলিয়াছিলেন,Past,pol_f
চলিয়াছিস,Present,2nd_i
চলিয়াছে,Present,3rd_f
চলিয়াছেন,Present,pol_f
চলিয়ো,Present,2nd_f
চলিল,Past,3rd_f
চলিলাম,Past,1st
চলিলি,Past,1st
চলিলে,Past,2nd_f
চলিলেন,Past,pol_f
চলিস,Present,2nd_i
চলুক,Present,3rd_f
চলুন,Present,pol_f
চলে,Past,2nd_f
চলেছ,Present,2nd_f
চলেছি,Present,1st
চলেছিল,Past,3rd_f
চলেছিলাম,Past,1st
চলেছিলি,Past,1st
চলেছিলুম,Past,1st
চলেছিলে,Past,2nd_f
চলেছিলেন,Past,pol_f
চলেছিলেম,Past,1st
চলেছিস,Present,2nd_i
চলেছে,Present,2nd_f
চলেছেন,Present,pol_f
চলেন,Past,pol_f
চলো,Present,2nd_f
চাই,Present,1st
চাইছ,Present,2nd_f
চাইছি,Present,1st
চাইছিল,Past,3rd_f
চাইছিলাম,Past,1st
চাইছিলি,Past,1st
চাইছিলুম,Past,1st
চাইছিলে,Past,2nd_f
চাইছিলেন,Past,pol_f
চাইছিলেম,Past,1st
চাইছিস,Present,2nd_i
চাইছে,Present,3rd_f
চাইছেন,Present,pol_f
চাইত,Past,3rd_f
চাইতাম,Past,1st
চাইতিস,Past,2nd_i
চাইতুম,Past,1st
চাইতে,Past,2nd_f
চাইতেছিল,Past,3rd_f
চাইতেছিলাম,Past,1st
চাইতেছিলি,Past,1st
চাইতেছিলুম,Past,1st
চাইতেছিলে,Past,2nd_f
চাইতেছিলেন,Past,pol_f
চাইতেছিলেম,Past,1st
চাইতেন,Past,pol_f
চাইতেম,Past,1st
চাইব,Future,1st
চাইবার,Present,404_f
চাইবি,Future,1st
চাইবে,Future,2nd_f
চাইবেন,Future,pol_f
চাইবো,Future,1st
চাইল,Past,3rd_f
চাইলাম,Past,1st
চাইলি,Past,1st
চাইলুম,Past,1st
চাইলে,Past,2nd_f
চাইলেন,Past,pol_f
চাইলেম,Past,1st
চাও,Present,2nd_f
চাওয়া,Base,pos_f
চাওয়ান,Present,pol_f
চাওয়ানো,Present,obj_f
চাওয়ার,Present,404_f
ডাকা,Base,pos_f
ডাকাই,Present,1st
ডাকাইও,Present,2nd_f
ডাকাইত,Past,3rd_f
ডাকাইতাম,Past,1st
ডাকাইতিস,Past,2nd_i
ডাকাইতে,Past,2nd_f
ডাকাইতেছ,Present,2nd_f
ডাকাইতেছি,Present,1st
ডাকাইতেছিল,Past,3rd_f
ডাকাইতেছিলাম,Past,1st
ডাকাইতেছিলি,Past,1st
ডাকাইতেছিলে,Past,2nd_f
ডাকাইতেছিলেন,Past,pol_f
ডাকাইতেছিস,Present,2nd_i
ডাকাইতেছে,Present,2nd_f
ডাকাইতেছেন,Present,pol_f
ডাকাইতেন,Past,pol_f
ডাকাইব,Future,1st
ডাকাইবার,Present,404_f
ডাকাইবি,Future,1st
ডাকাইবে,Future,2nd_f
ডাকাইবেন,Future,pol_f
ডাকাইয়া,Participle,404_f
ডাকাইয়াছ,Present,2nd_f
ডাকাইয়াছি,Present,1st
ডাকাইয়াছিল,Past,3rd_f
ডাকাইয়াছিলাম,Past,1st
ডাকাইয়াছিলি,Past,1st
ডাকাইয়াছিলে,Past,2nd_f
ডাকাইয়াছিলেন,Past,pol_f
ডাকাইয়াছিস,Present,2nd_i
ডাকাইয়াছে,Present,3rd_f
ডাকাইয়াছেন,Present,pol_f
ডাকাইয়ো,Present,2nd_f
ডাকাইল,Past,3rd_f
ডাকাইলাম,Past,1st
ডাকাইলি,Past,1st
ডাকাইলে,Past,2nd_f
ডাকাইলেন,Past,pol_f
ডাকাও,Present,2nd_f
ডাকাক,Present,3rd_f
ডাকাচ্ছ,Present,2nd_f
ডাকাচ্ছি,Present,1st
ডাকাচ্ছিল,Past,3rd_f
ডাকাচ্ছিলাম,Past,1st
ডাকাচ্ছিলি,Past,1st
ডাকাচ্ছিলুম,Past,1st
ডাকাচ্ছিলে,Past,2nd_f
ডাকাচ্ছিলেন,Past,pol_f
ডাকাচ্ছিলেম,Past,1st
ডাকাচ্ছিস,Present,2nd_i
ডাকাচ্ছে,Present,3rd_f
ডাকাচ্ছেন,Present,pol_f
ডাকাত,Past,3rd_f
ডাকাতাম,Past,1st
ডাকাতিস,Past,2nd_i
ডাকাতুম,Past,1st
ডাকাতে,Past,2nd_f
ডাকাতেন,Past,pol_f
ডাকাতেম,Past,1st
ডাকান,Present,pol_f
ডাকানো,Present,obj_f
ডাকাব,Future,1st
ডাকাবার,Present,404_f
ডাকাবি,Future,1st
ডাকাবে,Future,2nd_f
ডাকাবেন,Future,pol_f
ডাকাবো,Future,1st
ডাকায়,Present,3rd_f
ডাকার,Present,404_f
ডাকাল,Past,3rd_f
ডাকালাম,Past,1st
ডাকালি,Past,1st
ডাকালুম,Past,1st
ডাকালে,Past,2nd_f
ডাকালেন,Past,pol_f
ডাকালেম,Past,1st
ডাকাস,Present,2nd_i
ডাকি,Present,1st
ডাকিও,Present,2nd_f
ডাকিত,Past,3rd_f
ডাকিতাম,Past,1st
ডাকিতিস,Past,2nd_i
ডাকিতে,Past,2nd_f
ডাকিতেছ,Present,2nd_f
ডাকিতেছি,Present,1st
ডাকিতেছিল,Past,3rd_f
ডাকিতেছিলাম,Past,1st
ডাকিতেছিলি,Past,1st
ডাকিতেছিলে,Past,2nd_f
ডাকিতেছিলেন,Past,pol_f
ডাকিতেছিস,Present,2nd_i
ডাকিতেছে,Present,2nd_f
ডাকিতেছেন,Present,pol_f
ডাকিতেন,Past,pol_f
ডাকিব,Future,1st
ডাকিবার,Present,404_f
ডাকিবি,Future,1st
ডাকিবে,Future,2nd_f
ডাকিবেন,Future,pol_f
ডাকিয়া,Participle,404_f
ডাকিয়াছ,Present,2nd_f
ডাকিয়াছি,Present,1st
ডাকিয়াছিল,Past,3rd_f
ডাকিয়াছিলাম,Past,1st
ডাকিয়াছিলি,Past,1st
ডাকিয়াছিলে,Past,2nd_f
ডাকিয়াছিলেন,Past,pol_f
ডাকিয়াছিস,Present,2nd_i
ডাকিয়াছে,Present,3rd_f
ডাকিয়াছেন,Present,pol_f
ডাকিয়ে,Participle,404_f
ডাকিয়েছ,Present,2nd_f
ডাকিয়েছি,Present,1st
ডাকিয়েছিল,Past,3rd_f
ডাকিয়েছিলাম,Past,1st
ডাকিয়েছিলি,Past,1st
ডাকিয়েছিলুম,Past,1st
ডাকিয়েছিলে,Past,2nd_f
ডাকিয়েছিলেন,Past,pol_f
ডাকিয়েছিলেম,Past,1st
ডাকিয়েছিস,Present,2nd_i
ডাকিয়েছে,Present,2nd_f
ডাকিয়েছেন,Present,pol_f
ডাকিয়ো,Present,2nd_f
ডাকিল,Past,3rd_f
ডাকিলাম,Past,1st
ডাকিলি,Past,1st
ডাকিলে,Past,2nd_f
ডাকিলেন,Past,pol_f
ডাকিস,Present,2nd_i
ডাকুক,Present,3rd_f
ডাকুন,Present,pol_f
ডাকে,Present,3rd_f
ডাকেন,Present,pol_f
ডাকছ,Present,2nd_f
ডাকছি,Present,1st
ডাকছিল,Past,3rd_f
ডাকছিলাম,Past,1st
ডাকছিলি,Past,1st
ডাকছিলুম,Past,1st
ডাকছিলে,Past,2nd_f
ডাকছিলেন,Past,pol_f
ডাকছিলেম,Past,1st
ডাকছিস,Present,2nd_i
ডাকছে,Present,3rd_f
ডাকছেন,Present,pol_f
ডাকত,Past,3rd_f
ডাকতাম,Past,1st
ডাকতিস,Past,2nd_i
ডাকতুম,Past,1st
ডাকতে,Past,2nd_f
ডাকতেন,Past,pol_f
ডাকতেম,Past,1st
ডাকব,Future,1st
ডাকবার,Present,404_f
ডাকবি,Future,1st
ডাকবে,Future,2nd_f
ডাকবেন,Future,pol_f
ডাকবো,Future,1st
ডাকল,Past,3rd_f
ডাকলাম,Past,1st
ডাকলি,Past,1st
ডাকলুম,Past,1st
ডাকলে,Past,2nd_f
ডাকলেন,Past,pol_f
ডাকলেম,Past,1st
ঢোক,Root,2nd_i
ঢোকা,Base,pos_f
ঢোকাই,Present,1st
ঢোকাও,Present,2nd_f
ঢোকাক,Present,3rd_f
ঢোকাচ্ছ,Present,2nd_f
ঢোকাচ্ছি,Present,1st
ঢোকাচ্ছিল,Past,3rd_f
ঢোকাচ্ছিলাম,Past,1st
ঢোকাচ্ছিলি,Past,1st
ঢোকাচ্ছিলুম,Past,1st
ঢোকাচ্ছিলে,Past,2nd_f
ঢোকাচ্ছিলেন,Past,pol_f
ঢোকাচ্ছিলেম,Past,1st
ঢোকাচ্ছিস,Present,2nd_i
ঢোকাচ্ছে,Present,3rd_f
ঢোকাচ্ছেন,Present,pol_f
ঢোকাত,Past,3rd_f
ঢোকাতাম,Past,1st
ঢোকাতিস,Past,2nd_i
ঢোকাতুম,Past,1st
ঢোকাতে,Past,2nd_f
ঢোকাতেন,Past,pol_f
ঢোকাতেম,Past,1st
ঢোকান,Present,pol_f
ঢোকানো,Present,obj_f
ঢোকাব,Future,1st
ঢোকাবার,Present,404_f
ঢোকাবি,Future,1st
ঢোকাবে,Future,2nd_f
ঢোকাবেন,Future,pol_f
ঢোকাবো,Future,1st
ঢোকায়,Present,3rd_f
ঢোকার,Present,404_f
ঢোকাল,Past,3rd_f
ঢোকালাম,Past,1st
ঢোকালি,Past,1st
ঢোকালুম,Past,1st
ঢোকালে,Past,2nd_f
ঢোকালেন,Past,pol_f
ঢোকালেম,Past,1st
ঢোকাস,Present,2nd_i
ঢোকে,Present,3rd_f
ঢোকেন,Present,pol_f
ঢোকবার,Present,404_f
থাকা,Base,pos_f
থাকানো,Present,obj_f
থাকার,Present,404_f
থাকি,Present,1st
থাকিও,Present,2nd_f
থাকিত,Past,3rd_f
থাকিতাম,Past,1st
থাকিতিস,Past,2nd_i
থাকিতে,Past,2nd_f
থাকিতেছ,Present,2nd_f
থাকিতেছি,Present,1st
থাকিতেছিল,Past,3rd_f
থাকিতেছিলাম,Past,1st
থাকিতেছিলি,Past,1st
থাকিতেছিলে,Past,2nd_f
থাকিতেছিলেন,Past,pol_f
থাকিতেছিস,Present,2nd_i
থাকিতেছে,Present,2nd_f
থাকিতেছেন,Present,pol_f
থাকিতেন,Past,pol_f
থাকিব,Future,1st
থাকিবার,Present,404_f
থাকিবি,Future,1st
থাকিবে,Future,2nd_f
থাকিবেন,Future,pol_f
থাকিয়া,Participle,404_f
থাকিয়াছ,Present,2nd_f
থাকিয়াছি,Present,1st
থাকিয়াছিল,Past,3rd_f
থাকিয়াছিলাম,Past,1st
থাকিয়াছিলি,Past,1st
থাকিয়াছিলে,Past,2nd_f
থাকিয়াছিলেন,Past,pol_f
থাকিয়াছিস,Present,2nd_i
থাকিয়াছে,Present,3rd_f
থাকিয়াছেন,Present,pol_f
থাকিয়ো,Present,2nd_f
থাকিল,Past,3rd_f
থাকিলাম,Past,1st
থাকিলি,Past,1st
থাকিলে,Past,2nd_f
থাকিলেন,Past,pol_f
থাকিস,Present,2nd_i
থাকুক,Present,3rd_f
থাকুন,Present,pol_f
থাকে,Present,3rd_f
থাকেন,Present,pol_f
থাকছ,Present,2nd_f
থাকছি,Present,1st
থাকছিল,Past,3rd_f
থাকছিলাম,Past,1st
থাকছিলি,Past,1st
থাকছিলুম,Past,1st
থাকছিলে,Past,2nd_f
থাকছিলেন,Past,pol_f
থাকছিলেম,Past,1st
থাকছিস,Present,2nd_i
থাকছে,Present,3rd_f
থাকছেন,Present,pol_f
দেখ,Root,2nd_i
দেখা,Base,pos_f
দেখাই,Present,1st
দেখাইও,Present,2nd_f
দেখাইত,Past,3rd_f
দেখাইতাম,Past,1st
দেখাইতিস,Past,2nd_i
দেখাইতে,Past,2nd_f
দেখাইতেছ,Present,2nd_f
দেখাইতেছি,Present,1st
দেখাইতেছিল,Past,3rd_f
দেখাইতেছিলাম,Past,1st
দেখাইতেছিলি,Past,1st
দেখাইতেছিলে,Past,2nd_f
দেখাইতেছিলেন,Past,pol_f
দেখাইতেছিস,Present,2nd_i
দেখাইতেছে,Present,2nd_f
দেখাইতেছেন,Present,pol_f
দেখাইতেন,Past,pol_f
দেখাইব,Future,1st
দেখাইবার,Present,404_f
দেখাইবি,Future,1st
দেখাইবে,Future,2nd_f
দেখাইবেন,Future,pol_f
দেখাইয়া,Participle,404_f
দেখাইয়াছ,Present,2nd_f
দেখাইয়াছি,Present,1st
দেখাইয়াছিল,Past,3rd_f
দেখাইয়াছিলাম,Past,1st
দেখাইয়াছিলি,Past,1st
দেখাইয়াছিলে,Past,2nd_f
দেখাইয়াছিলেন,Past,pol_f
দেখাইয়াছিস,Present,2nd_i
দেখাইয়াছে,Present,3rd_f
দেখাইয়াছেন,Present,pol_f
দেখাইয়ো,Present,2nd_f
দেখাইল,Past,3rd_f
দেখাইলাম,Past,1st
দেখাইলি,Past,1st
দেখাইলে,Past,2nd_f
দেখাইলেন,Past,pol_f
দেখাও,Present,2nd_f
দেখাক,Present,3rd_f
দেখাচ্ছ,Present,2nd_f
দেখাচ্ছি,Present,1st
দেখাচ্ছিল,Past,3rd_f
দেখাচ্ছিলাম,Past,1st
দেখাচ্ছিলি,Past,1st
দেখাচ্ছিলুম,Past,1st
দেখাচ্ছিলে,Past,2nd_f
দেখাচ্ছিলেন,Past,pol_f
দেখাচ্ছিলেম,Past,1st
দেখাচ্ছিস,Present,2nd_i
দেখাচ্ছে,Present,3rd_f
দেখাচ্ছেন,Present,pol_f
দেখাত,Past,3rd_f
দেখাতাম,Past,1st
দেখাতিস,Past,2nd_i
দেখাতুম,Past,1st
দেখাতে,Past,2nd_f
দেখাতেন,Past,pol_f
দেখাতেম,Past,1st
দেখান,Present,pol_f
দেখানো,Present,obj_f
দেখাব,Future,1st
দেখাবার,Present,404_f
দেখাবি,Future,1st
দেখাবে,Future,2nd_f
দেখাবেন,Future,pol_f
দেখাবো,Future,1st
দেখায়,Present,3rd_f
দেখার,Present,404_f
দেখাল,Past,3rd_f
দেখালাম,Past,1st
দেখালি,Past,1st
দেখালুম,Past,1st
দেখালে,Past,2nd_f
দেখালেন,Past,pol_f
দেখালেম,Past,1st
দেখাস,Present,2nd_i
দেখি,Present,1st
দেখিও,Present,2nd_f
দেখিত,Past,3rd_f
দেখিতাম,Past,1st
দেখিতিস,Past,2nd_i
দেখিতে,Past,2nd_f
দেখিতেছ,Present,2nd_f
দেখিতেছি,Present,1st
দেখিতেছিল,Past,3rd_f
দেখিতেছিলাম,Past,1st
দেখিতেছিলি,Past,1st
দেখিতেছিলে,Past,2nd_f
দেখিতেছিলেন,Past,pol_f
দেখিতেছিস,Present,2nd_i
দেখিতেছে,Present,2nd_f
দেখিতেছেন,Present,pol_f
দেখিতেন,Past,pol_f
দেখিব,Future,1st
দেখিবার,Present,404_f
দেখিবি,Future,1st
দেখিবে,Future,2nd_f
দেখিবেন,Future,pol_f
দেখিয়া,Participle,404_f
দেখিয়াছ,Present,2nd_f
দেখিয়াছি,Present,1st
দেখিয়াছিল,Past,3rd_f
দেখিয়াছিলাম,Past,1st
দেখিয়াছিলি,Past,1st
দেখিয়াছিলে,Past,2nd_f
দেখিয়াছিলেন,Past,pol_f
দেখিয়াছিস,Present,2nd_i
দেখিয়াছে,Present,3rd_f
দেখিয়াছেন,Present,pol_f
দেখিয়ে,Participle,404_f
দেখিয়েছ,Present,2nd_f
দেখিয়েছি,Present,1st
দেখিয়েছিল,Past,3rd_f
দেখিয়েছিলাম,Past,1st
দেখিয়েছিলি,Past,1st
দেখিয়েছিলুম,Past,1st
দেখিয়েছিলে,Past,2nd_f
দেখিয়েছিলেন,Past,pol_f
দেখিয়েছিলেম,Past,1st
দেখিয়েছিস,Present,2nd_i
দেখিয়েছে,Present,2nd_f
দেখিয়েছেন,Present,pol_f
দেখিয়ো,Present,2nd_f
দেখিল,Past,3rd_f
দেখিলাম,Past,1st
দেখিলি,Past,1st
দেখিলে,Past,2nd_f
দেখিলেন,Past,pol_f
দেখিস,Present,2nd_i
দেখুক,Present,3rd_f
দেখুন,Present,pol_f
দেখে,Present,3rd_f
দেখেছ,Present,2nd_f
দেখেছি,Present,1st
দেখেছিল,Past,3rd_f
দেখেছিলাম,Past,1st
দেখেছিলি,Past,1st
দেখেছিলুম,Past,1st
দেখেছিলে,Past,2nd_f
দেখেছিলেন,Past,pol_f
দেখেছিলেম,Past,1st
দেখেছিস,Present,2nd_i
দেখেছে,Present,2nd_f
দেখেছেন,Present,pol_f
দেখেন,Present,pol_f
দেখো,Present,2nd_f
দেখছ,Present,2nd_f
দেখছি,Present,1st
দেখছিল,Past,3rd_f
দেখছিলাম,Past,1st
দেখছিলি,Past,1st
দেখছিলুম,Past,1st
দেখছিলে,Past,2nd_f
দেখছিলেন,Past,pol_f
দেখছিলেম,Past,1st
দেখছিস,Present,2nd_i
দেখছে,Present,3rd_f
দেখছেন,Present,pol_f
দেখত,Past,3rd_f
দেখতাম,Past,1st
দেখতিস,Past,2nd_i
দেখতুম,Past,1st
দেখতে,Past,2nd_f
দেখতেন,Past,pol_f
দেখতেম,Past,1st
দেখব,Future,1st
দেখবার,Present,404_f
দেখবি,Future,1st
দেখবে,Future,2nd_f
দেখবেন,Future,pol_f
দেখবো,Future,1st
দেখল,Past,3rd_f
দেখলাম,Past,1st
দেখলি,Past,1st
দেখলুম,Past,1st
দেখলে,Past,2nd_f
দেখলেন,Past,pol_f
দেখলেম,Past,1st
নাচ,Root,2nd_i
নাচা,Base,pos_f
নাচাই,Present,1st
নাচাইও,Present,2nd_f
নাচাইত,Past,3rd_f
নাচাইতাম,Past,1st
নাচাইতিস,Past,2nd_i
নাচাইতে,Past,2nd_f
নাচাইতেছ,Present,2nd_f
নাচাইতেছি,Present,1st
নাচাইতেছিল,Past,3rd_f
নাচাইতেছিলাম,Past,1st
নাচাইতেছিলি,Past,1st
নাচাইতেছিলে,Past,2nd_f
নাচাইতেছিলেন,Past,pol_f
নাচাইতেছিস,Present,2nd_i
নাচাইতেছে,Present,2nd_f
নাচাইতেছেন,Present,pol_f
নাচাইতেন,Past,pol_f
নাচাইব,Future,1st
নাচাইবার,Present,404_f
নাচাইবি,Future,1st
নাচাইবে,Future,2nd_f
নাচাইবেন,Future,pol_f
নাচাইয়া,Participle,404_f
নাচাইয়াছ,Present,2nd_f
নাচাইয়াছি,Present,1st
নাচাইয়াছিল,Past,3rd_f
নাচাইয়াছিলাম,Past,1st
নাচাইয়াছিলি,Past,1st
নাচাইয়াছিলে,Past,2nd_f
নাচাইয়াছিলেন,Past,pol_f
নাচাইয়াছিস,Present,2nd_i
নাচাইয়াছে,Present,3rd_f
নাচাইয়াছেন,Present,pol_f
নাচাইয়ো,Present,2nd_f
নাচাইল,Past,3rd_f
নাচাইলাম,Past,1st
নাচাইলি,Past,1st
নাচাইলে,Past,2nd_f
নাচাইলেন,Past,pol_f
নাচাও,Present,2nd_f
নাচাক,Present,3rd_f
নাচাচ্ছ,Present,2nd_f
নাচাচ্ছি,Present,1st
নাচাচ্ছিল,Past,3rd_f
নাচাচ্ছিলাম,Past,1st
নাচাচ্ছিলি,Past,1st
নাচাচ্ছিলুম,Past,1st
নাচাচ্ছিলে,Past,2nd_f
নাচাচ্ছিলেন,Past,pol_f
নাচাচ্ছিলেম,Past,1st
নাচাচ্ছিস,Present,2nd_i
নাচাচ্ছে,Present,3rd_f
নাচাচ্ছেন,Present,pol_f
নাচাত,Past,3rd_f
নাচাতাম,Past,1st
নাচাতিস,Past,2nd_i
নাচাতুম,Past,1st
নাচাতে,Past,2nd_f
নাচাতেন,Past,pol_f
নাচাতেম,Past,1st
নাচান,Present,pol_f
নাচানো,Present,obj_f
নাচাব,Future,1st
নাচাবার,Present,404_f
নাচাবি,Future,1st
নাচাবে,Future,2nd_f
নাচাবেন,Future,pol_f
নাচাবো,Future,1st
নাচায়,Present,3rd_f
নাচার,Present,404_f
নাচাল,Past,3rd_f
নাচালাম,Past,1st
নাচালি,Past,1st
নাচালুম,Past,1st
নাচালে,Past,2nd_f
নাচালেন,Past,pol_f
নাচালেম,Past,1st
নাচাস,Present,2nd_i
নাচি,Present,1st
নাচিও,Present,2nd_f
নাচিত,Past,3rd_f
নাচিতাম,Past,1st
নাচিতিস,Past,2nd_i
নাচিতে,Past,2nd_f
নাচিতেছ,Present,2nd_f
নাচিতেছি,Present,1st
নাচিতেছিল,Past,3rd_f
নাচিতেছিলাম,Past,1st
নাচিতেছিলি,Past,1st
নাচিতেছিলে,Past,2nd_f
নাচিতেছিলেন,Past,pol_f
নাচিতেছিস,Present,2nd_i
নাচিতেছে,Present,2nd_f
নাচিতেছেন,Present,pol_f
নাচিতেন,Past,pol_f
নাচিব,Future,1st
নাচিবার,Present,404_f
নাচিবি,Future,1st
নাচিবে,Future,2nd_f
নাচিবেন,Future,pol_f
নাচিয়া,Participle,404_f
নাচিয়াছ,Present,2nd_f
নাচিয়াছি,Present,1st
নাচিয়াছিল,Past,3rd_f
নাচিয়াছিলাম,Past,1st
নাচিয়াছিলি,Past,1st
নাচিয়াছিলে,Past,2nd_f
নাচিয়াছিলেন,Past,pol_f
নাচিয়াছিস,Present,2nd_i
নাচিয়াছে,Present,3rd_f
নাচিয়াছেন,Present,pol_f
নাচিয়ে,Participle,404_f
