Sentence,Tense
সে আজ গাইত,Past_Nrm
তারা গাইত আগে,Past_Nrm
সেদিন গাইতাম আমি,Past_Nrm
আজকে গাইতাম আমরা,Past_Nrm
তুই গাইতিস অতীতে,Past_Nrm
তোরা গাইতিস আজ,Past_Nrm
আমি এখনই গাইতুম,Past_Nrm
আমরা এখন গাইতুম,Past_Nrm
তুমি আজকে গাইতে,Past_Nrm
এখন গাইতে তোমরা,Past_Nrm
সে আগে গাইতেছিল,Past_Nrm
আজ গাইতেছিল তারা,Past_Nrm
আমি আজকে গাইতেছিলাম,Past_Nrm
আমরা আজকে গাইতেছিলাম,Past_Nrm
তুই এখনই গাইতেছিলি,Past_Nrm
তোরা গাইতেছিলি অতীতে,Past_Nrm
আমি আগে গাইতেছিলুম,Past_Nrm
আমরা অতীতে গাইতেছিলুম,Past_Nrm
তুমি আগে গাইতেছিলে,Past_Nrm
এখনই গাইতেছিলে তোমরা,Past_Nrm
আপনি গাইতেছিলেন এখন,Past_Nrm
আপনারা আজকে গাইতেছিলেন,Past_Nrm
উনি গাইতেছিলেন গতকাল,Past_Nrm
উনারা গাইতেছিলেন গতকাল,Past_Nrm
এখন গাইতেছিলেন তিনি,Past_Nrm
আমি গাইতেছিলেম অতীতে,Past_Nrm
এখন গাইতেছিলেম আমরা,Past_Nrm
আপনি এখনই গাইতেন,Past_Nrm
অতীতে গাইতেন আপনারা,Past_Nrm
আজকে গাইতেন উনি,Past_Nrm
উনারা গাইতেন পূর্বে,Past_Nrm
তিনি গাইতেন গতকাল,Past_Nrm
আমি আজকে গাইতেম,Past_Nrm
আমরা গাইতেম আজ,Past_Nrm
আমি গাইব আজকে,Future_Nrm
আমরা আজকে গাইব,Future_Nrm
কোনো বাক্য তৈরি হয়নি,Error
তুই এখনই গাইবি,Future_Nrm
তোরা আজ গাইবি,Future_Nrm
আগামিকাল গাইবে তুমি,Future_Nrm
তোমরা গাইবে আগামিকাল,Future_Nrm
আপনি গাইবেন আগামীকাল,Future_Nrm
আপনারা এখন গাইবেন,Future_Nrm
উনি গাইবেন শীঘ্রই,Future_Nrm
উনারা আজ গাইবেন,Future_Nrm
আজকে গাইবেন তিনি,Future_Nrm
আজকে গাইবো আমি,Future_Nrm
আজ গাইবো আমরা,Future_Nrm
কোনো বাক্য তৈরি হয়নি,Error
আজকে গাইয়েছ তুমি,Present_Nrm
আজকে গাইয়েছ তোমরা,Present_Nrm
আমি গাইয়েছি বর্তমানে,Present_Nrm
এখন গাইয়েছি আমরা,Present_Nrm
সে এখনই গাইয়েছিল,Past_Nrm
তারা গাইয়েছিল সেদিন,Past_Nrm
আমি গাইয়েছিলাম আগে,Past_Nrm
আমরা আগে গাইয়েছিলাম,Past_Nrm
তুই সেদিন গাইয়েছিলি,Past_Nrm
তোরা পূর্বে গাইয়েছিলি,Past_Nrm
আমি সেদিন গাইয়েছিলুম,Past_Nrm
অতীতে গাইয়েছিলুম আমরা,Past_Nrm
তুমি আজকে গাইয়েছিলে,Past_Nrm
তোমরা গাইয়েছিলে আগে,Past_Nrm
আপনি অতীতে গাইয়েছিলেন,Past_Nrm
আজ গাইয়েছিলেন আপনারা,Past_Nrm
উনি অতীতে গাইয়েছিলেন,Past_Nrm
উনারা গাইয়েছিলেন গতকাল,Past_Nrm
অতীতে গাইয়েছিলেন তিনি,Past_Nrm
আগে গাইয়েছিলেম আমি,Past_Nrm
আমরা আজকে গাইয়েছিলেম,Past_Nrm
এখন গাইয়েছিস তুই,Present_Nrm
তোরা গাইয়েছিস এখন,Present_Nrm
সে আজকে গাইয়েছে,Present_Nrm
তারা গাইয়েছে এখনই,Present_Nrm
আপনি আজ গাইয়েছেন,Present_Nrm
আপনারা গাইয়েছেন আজকে,Present_Nrm
উনি আজ গাইয়েছেন,Present_Nrm
উনারা গাইয়েছেন এখনই,Present_Nrm
তিনি গাইয়েছেন আজকে,Present_Nrm
তুমি গাইয়ো এখনই,Present_Nrm
আজকে গাইয়ো তোমরা,Present_Nrm
আজ গাইল সে,Past_Nrm
তারা আজ গাইল,Past_Nrm
আমি সেদিন গাইলাম,Past_Nrm
আমরা গাইলাম সেদিন,Past_Nrm
তুই গাইলি আজকে,Past_Nrm
তোরা পূর্বে গাইলি,Past_Nrm
আজকে গাইলুম আমি,Past_Nrm
সেদিন গাইলুম আমরা,Past_Nrm
তুমি গাইলে সেদিন,Past_Nrm
তোমরা এখনই গাইলে,Past_Nrm
এখনই গাইলেন আপনি,Past_Nrm
আপনারা পূর্বে গাইলেন,Past_Nrm
আজকে গাইলেন উনি,Past_Nrm
উনারা গাইলেন সেদিন,Past_Nrm
তিনি এখনই গাইলেন,Past_Nrm
আমি আগে গাইলেম,Past_Nrm
অতীতে গাইলেম আমরা,Past_Nrm
তুমি গাও এখনই,Present_Nrm
তোমরা গাও বর্তমানে,Present_Nrm
আমার গাওয়া উচিৎ,Present_Imp
দরকার গাওয়া আমাদের,Present_Imp
তোমার উচিৎ গাওয়া,Present_Imp
প্রয়োজন গাওয়া তোমাদের,Present_Imp
তোর গাওয়া উচিত,Present_Imp
তোদের গাওয়া দরকার,Present_Imp
তার উচিত গাওয়া,Present_Imp
তাদের গাওয়া উচিত,Present_Imp
আপনার উচিত গাওয়া,Present_Imp
উচিত গাওয়া আপনাদের,Present_Imp
উনার গাওয়া উচিৎ,Present_Imp
উচিত গাওয়া উনাদের,Present_Imp
এখনই গাওয়াই আমি,Present_Nrm
আজকে গাওয়াই আমরা,Present_Nrm
আজ গাওয়াও তুমি,Present_Nrm
আজ গাওয়াও তোমরা,Present_Nrm
সে এখনই গাওয়াক,Present_Nrm
এখনই গাওয়াক তারা,Present_Nrm
তুমি এখনই গাওয়াচ্ছ,Present_Nrm
তোমরা গাওয়াচ্ছ আজকে,Present_Nrm
আমি গাওয়াচ্ছি আজকে,Present_Nrm
আমরা এখনই গাওয়াচ্ছি,Present_Nrm
অতীতে গাওয়াচ্ছিল সে,Past_Nrm
তারা গাওয়াচ্ছিল এখনই,Past_Nrm
আমি গাওয়াচ্ছিলাম গতকাল,Past_Nrm
আমরা আজ গাওয়াচ্ছিলাম,Past_Nrm
তুই আগে গাওয়াচ্ছিলি,Past_Nrm
তোরা গতকাল গাওয়াচ্ছিলি,Past_Nrm
আমি আজকে গাওয়াচ্ছিলুম,Past_Nrm
আমরা এখনই গাওয়াচ্ছিলুম,Past_Nrm
তুমি গাওয়াচ্ছিলে এখনই,Past_Nrm
পূর্বে গাওয়াচ্ছিলে তোমরা,Past_Nrm
আপনি গাওয়াচ্ছিলেন এখনই,Past_Nrm
আজকে গাওয়াচ্ছিলেন আপনারা,Past_Nrm
উনি গাওয়াচ্ছিলেন সেদিন,Past_Nrm
উনারা গাওয়াচ্ছিলেন অতীতে,Past_Nrm
তিনি গাওয়াচ্ছিলেন গতকাল,Past_Nrm
আমি গাওয়াচ্ছিলেম এখন,Past_Nrm
আমরা সেদিন গাওয়াচ্ছিলেম,Past_Nrm
এখন গাওয়াচ্ছিস তুই,Present_Nrm
তোরা বর্তমানে গাওয়াচ্ছিস,Present_Nrm
আজকে গাওয়াচ্ছে সে,Present_Nrm
আজকে গাওয়াচ্ছে তারা,Present_Nrm
আপনি গাওয়াচ্ছেন বর্তমানে,Present_Nrm
বর্তমানে গাওয়াচ্ছেন আপনারা,Present_Nrm
উনি আজকে গাওয়াচ্ছেন,Present_Nrm
উনারা গাওয়াচ্ছেন বর্তমানে,Present_Nrm
তিনি এখন গাওয়াচ্ছেন,Present_Nrm
গতকাল গাওয়াত সে,Past_Nrm
এখনই গাওয়াত তারা,Past_Nrm
এখন গাওয়াতাম আমি,Past_Nrm
আমরা এখনই গাওয়াতাম,Past_Nrm
তুই আগে গাওয়াতিস,Past_Nrm
তোরা গাওয়াতিস এখন,Past_Nrm
আমি গাওয়াতুম পূর্বে,Past_Nrm
সেদিন গাওয়াতুম আমরা,Past_Nrm
তুমি গাওয়াতে আজ,Past_Nrm
তোমরা গাওয়াতে পূর্বে,Past_Nrm
আপনি আগে গাওয়াতেন,Past_Nrm
অতীতে গাওয়াতেন আপনারা,Past_Nrm
উনি গাওয়াতেন অতীতে,Past_Nrm
উনারা গাওয়াতেন এখনই,Past_Nrm
আজকে গাওয়াতেন তিনি,Past_Nrm
আজ গাওয়াতেম আমি,Past_Nrm
আমরা এখন গাওয়াতেম,Past_Nrm
এখন গাওয়ান আপনি,Present_Nrm
আপনারা গাওয়ান বর্তমানে,Present_Nrm
এখন গাওয়ান উনি,Present_Nrm
উনারা গাওয়ান আজ,Present_Nrm
তিনি গাওয়ান এখন,Present_Nrm
উচিত গাওয়ানো আমাকে,Present_Nrm
আমাদেরকে গাওয়ানো দরকার,Present_Nrm
উচিৎ গাওয়ানো তোমাকে,Present_Nrm
তোমাদেরকে উচিৎ গাওয়ানো,Present_Nrm
প্রয়োজন গাওয়ানো তোকে,Present_Nrm
প্রয়োজন গাওয়ানো তোদেরকে,Present_Nrm
তাকে গাওয়ানো উচিৎ,Present_Nrm
তাদেরকে গাওয়ানো প্রয়োজন,Present_Nrm
আপনাকে উচিত গাওয়ানো,Present_Nrm
উচিত গাওয়ানো আপনাদেরকে,Present_Nrm
উনাকে উচিত গাওয়ানো,Present_Nrm
উনাদেরকে গাওয়ানো দরকার,Present_Nrm
আমি গাওয়াব পরশু,Future_Nrm
আমরা আগামিকাল গাওয়াব,Future_Nrm
কোনো বাক্য তৈরি হয়নি,Error
আজ গাওয়াবি তুই,Future_Nrm
তোরা শীঘ্রই গাওয়াবি,Future_Nrm
তুমি গাওয়াবে এখন,Future_Nrm
এখন গাওয়াবে তোমরা,Future_Nrm
আপনি গাওয়াবেন পরশু,Future_Nrm
আজকে গাওয়াবেন আপনারা,Future_Nrm
শীঘ্রই গাওয়াবেন উনি,Future_Nrm
উনারা আজ গাওয়াবেন,Future_Nrm
আজকে গাওয়াবেন তিনি,Future_Nrm
আগামিকাল গাওয়াবো আমি,Future_Nrm
আমরা গাওয়াবো আগামীকাল,Future_Nrm
সে গাওয়ায় এখনই,Present_Nrm
এখনই গাওয়ায় তারা,Present_Nrm
কোনো বাক্য তৈরি হয়নি,Error
সে সেদিন গাওয়াল,Past_Nrm
পূর্বে গাওয়াল তারা,Past_Nrm
আমি আগে গাওয়ালাম,Past_Nrm
এখন গাওয়ালাম আমরা,Past_Nrm
তুই গাওয়ালি পূর্বে,Past_Nrm
তোরা গাওয়ালি অতীতে,Past_Nrm
গতকাল গাওয়ালুম আমি,Past_Nrm
আমরা গাওয়ালুম আগে,Past_Nrm
অতীতে গাওয়ালে তুমি,Past_Nrm
তোমরা অতীতে গাওয়ালে,Past_Nrm
আপনি পূর্বে গাওয়ালেন,Past_Nrm
আজ গাওয়ালেন আপনারা,Past_Nrm
উনি গাওয়ালেন আজ,Past_Nrm
পূর্বে গাওয়ালেন উনারা,Past_Nrm
তিনি গাওয়ালেন এখনই,Past_Nrm
আমি আগে গাওয়ালেম,Past_Nrm
আমরা আজ গাওয়ালেম,Past_Nrm
তুই গাওয়াস আজকে,Present_Nrm
আজ গাওয়াস তোরা,Present_Nrm
সে আজকে গাক,Present_Nrm
তারা গাক আজ,Present_Nrm
অতীতে গাচ্ছিল সে,Past_Nrm
তারা আজ গাচ্ছিল,Past_Nrm
আমি এখন গাচ্ছিলাম,Past_Nrm
আজ গাচ্ছিলাম আমরা,Past_Nrm
আজকে গাচ্ছিলি তুই,Past_Nrm
তোরা গাচ্ছিলি পূর্বে,Past_Nrm
আমি আগে গাচ্ছিলুম,Past_Nrm
অতীতে গাচ্ছিলুম আমরা,Past_Nrm
তুমি আজকে গাচ্ছিলে,Past_Nrm
তোমরা গাচ্ছিলে গতকাল,Past_Nrm
আপনি আজকে গাচ্ছিলেন,Past_Nrm
আপনারা গাচ্ছিলেন এখনই,Past_Nrm
উনি আজ গাচ্ছিলেন,Past_Nrm
উনারা গাচ্ছিলেন আজ,Past_Nrm
তিনি আজকে গাচ্ছিলেন,Past_Nrm
পূর্বে গাচ্ছিলেম আমি,Past_Nrm
আমরা গাচ্ছিলেম সেদিন,Past_Nrm
তুই চল আজ,Present_Imp
তোরা এখনই চল,Present_Imp
আমার প্রয়োজন চলা,Present_Imp
আমাদের উচিত চলা,Present_Imp
তোমার উচিৎ চলা,Present_Imp
উচিৎ চলা তোমাদের,Present_Imp
তোর চলা প্রয়োজন,Present_Imp
তোদের চলা উচিৎ,Present_Imp
তার চলা প্রয়োজন,Present_Imp
দরকার চলা তাদের,Present_Imp
আপনার দরকার চলা,Present_Imp
উচিত চলা আপনাদের,Present_Imp
উচিত চলা উনার,Present_Imp
উনাদের চলা উচিত,Present_Imp
আপনি আজ চলান,Present_Nrm
আপনারা বর্তমানে চলান,Present_Nrm
উনি আজ চলান,Present_Nrm
উনারা আজ চলান,Present_Nrm
তিনি বর্তমানে চলান,Present_Nrm
আমাকে চলানো উচিৎ,Present_Nrm
আমাদেরকে উচিৎ চলানো,Present_Nrm
প্রয়োজন চলানো তোমাকে,Present_Nrm
তোমাদেরকে চলানো উচিৎ,Present_Nrm
তোকে চলানো দরকার,Present_Nrm
তোদেরকে চলানো উচিত,Present_Nrm
তাকে চলানো প্রয়োজন,Present_Nrm
তাদেরকে চলানো প্রয়োজন,Present_Nrm
আপনাকে উচিত চলানো,Present_Nrm
আপনাদেরকে চলানো উচিৎ,Present_Nrm
উনাকে চলানো উচিত,Present_Nrm
উনাদেরকে চলানো উচিত,Present_Nrm
কোনো বাক্য তৈরি হয়নি,Error
তুই চলি এখনই,Past_Nrm
তোরা চলি আগে,Past_Nrm
এখনই চলিও তুমি,Present_Nrm
আজ চলিও তোমরা,Present_Nrm
সে চলিত গতকাল,Past_Nrm
গতকাল চলিত তারা,Past_Nrm
আমি চলিতাম আজ,Past_Nrm
আমরা সেদিন চলিতাম,Past_Nrm
এখন চলিতিস তুই,Past_Nrm
তোরা এখনই চলিতিস,Past_Nrm
তুমি চলিতে আজ,Past_Nrm
তোমরা সেদিন চলিতে,Past_Nrm
তুমি চলিতেছ আজ,Present_Nrm
তোমরা চলিতেছ এখনই,Present_Nrm
আজ চলিতেছি আমি,Present_Nrm
আমরা চলিতেছি এখনই,Present_Nrm
সেদিন চলিতেছিল সে,Past_Nrm
এখন চলিতেছিল তারা,Past_Nrm
আমি চলিতেছিলাম সেদিন,Past_Nrm
আমরা পূর্বে চলিতেছিলাম,Past_Nrm
তুই সেদিন চলিতেছিলি,Past_Nrm
অতীতে চলিতেছিলি তোরা,Past_Nrm
তুমি সেদিন চলিতেছিলে,Past_Nrm
তোমরা আজ চলিতেছিলে,Past_Nrm
এখনই চলিতেছিলেন আপনি,Past_Nrm
আগে চলিতেছিলেন আপনারা,Past_Nrm
অতীতে চলিতেছিলেন উনি,Past_Nrm
উনারা এখনই চলিতেছিলেন,Past_Nrm
তিনি সেদিন চলিতেছিলেন,Past_Nrm
বর্তমানে চলিতেছিস তুই,Present_Nrm
এখনই চলিতেছিস তোরা,Present_Nrm
এখনই চলিতেছে সে,Present_Nrm
তারা এখন চলিতেছে,Present_Nrm
আজ চলিতেছেন আপনি,Present_Nrm
এখন চলিতেছেন আপনারা,Present_Nrm
উনি আজ চলিতেছেন,Present_Nrm
এখনই চলিতেছেন উনারা,Present_Nrm
এখনই চলিতেছেন তিনি,Present_Nrm
আজকে চলিতেন আপনি,Past_Nrm
আপনারা এখনই চলিতেন,Past_Nrm
সেদিন চলিতেন উনি,Past_Nrm
উনারা সেদিন চলিতেন,Past_Nrm
তিনি এখনই চলিতেন,Past_Nrm
আমি আগামীকাল চলিব,Future_Nrm
আমরা পরশু চলিব,Future_Nrm
কোনো বাক্য তৈরি হয়নি,Error
তুই চলিবি ভবিষ্যতে,Future_Nrm
আগামিকাল চলিবি তোরা,Future_Nrm
এখন চলিবে তুমি,Future_Nrm
তোমরা এখন চলিবে,Future_Nrm
আপনি এখনই চলিবেন,Future_Nrm
আপনারা চলিবেন আজকে,Future_Nrm
উনি শীঘ্রই চলিবেন,Future_Nrm
এখনই চলিবেন উনারা,Future_Nrm
আগামীকাল চলিবেন তিনি,Future_Nrm
কোনো বাক্য তৈরি হয়নি,Error
তুমি চলিয়াছ আজকে,Present_Nrm
তোমরা চলিয়াছ বর্তমানে,Present_Nrm
এখন চলিয়াছি আমি,Present_Nrm
আমরা চলিয়াছি আজ,Present_Nrm
সে আগে চলিয়াছিল,Past_Nrm
আগে চলিয়াছিল তারা,Past_Nrm
সেদিন চলিয়াছিলাম আমি,Past_Nrm
আমরা চলিয়াছিলাম আজ,Past_Nrm
তুই চলিয়াছিলি আজ,Past_Nrm
তোরা চলিয়াছিলি সেদিন,Past_Nrm
তুমি সেদিন চলিয়াছিলে,Past_Nrm
তোমরা চলিয়াছিলে পূর্বে,Past_Nrm
আপনি এখনই চলিয়াছিলেন,Past_Nrm
অতীতে চলিয়াছিলেন আপনারা,Past_Nrm
উনি আজ চলিয়াছিলেন,Past_Nrm
উনারা চলিয়াছিলেন আগে,Past_Nrm
তিনি চলিয়াছিলেন সেদিন,Past_Nrm
আজকে চলিয়াছিস তুই,Present_Nrm
তোরা চলিয়াছিস আজ,Present_Nrm
সে আজ চলিয়াছে,Present_Nrm
আজকে চলিয়াছে তারা,Present_Nrm
আপনি এখনই চলিয়াছেন,Present_Nrm
আপনারা এখনই চলিয়াছেন,Present_Nrm
উনি চলিয়াছেন আজকে,Present_Nrm
উনারা আজ চলিয়াছেন,Present_Nrm
বর্তমানে চলিয়াছেন তিনি,Present_Nrm
বর্তমানে চলিয়ো তুমি,Present_Nrm
তোমরা চলিয়ো বর্তমানে,Present_Nrm
আজকে চলিল সে,Past_Nrm
এখনই চলিল তারা,Past_Nrm
আমি অতীতে চলিলাম,Past_Nrm
আমরা পূর্বে চলিলাম,Past_Nrm
এখনই চলিলি তুই,Past_Nrm
তোরা চলিলি আগে,Past_Nrm
তুমি চলিলে অতীতে,Past_Nrm
তোমরা চলিলে অতীতে,Past_Nrm
আপনি আগে চলিলেন,Past_Nrm
আপনারা এখনই চলিলেন,Past_Nrm
অতীতে চলিলেন উনি,Past_Nrm
উনারা চলিলেন আগে,Past_Nrm
সেদিন চলিলেন তিনি,Past_Nrm
তুই চলিস বর্তমানে,Present_Nrm
এখনই চলিস তোরা,Present_Nrm
সে চলুক বর্তমানে,Present_Nrm
তারা এখনই চলুক,Present_Nrm
আপনি এখনই চলুন,Present_Nrm
আপনারা এখন চলুন,Present_Nrm
উনি চলুন আজ,Present_Nrm
উনারা চলুন এখন,Present_Nrm
তিনি চলুন এখন,Present_Nrm
এখন চলে তুমি,Past_Nrm
তোমরা আজকে চলে,Past_Nrm
আজ চলেছ তুমি,Present_Nrm
তোমরা চলেছ এখন,Present_Nrm
আজ চলেছি আমি,Present_Nrm
বর্তমানে চলেছি আমরা,Present_Nrm
সে অতীতে চলেছিল,Past_Nrm
তারা অতীতে চলেছিল,Past_Nrm
গতকাল চলেছিলাম আমি,Past_Nrm
আমরা সেদিন চলেছিলাম,Past_Nrm
অতীতে চলেছিলি তুই,Past_Nrm
এখনই চলেছিলি তোরা,Past_Nrm
আমি আজ চলেছিলুম,Past_Nrm
গতকাল চলেছিলুম আমরা,Past_Nrm
সেদিন চলেছিলে তুমি,Past_Nrm
তোমরা চলেছিলে আজ,Past_Nrm
আপনি চলেছিলেন পূর্বে,Past_Nrm
আপনারা গতকাল চলেছিলেন,Past_Nrm
এখন চলেছিলেন উনি,Past_Nrm
উনারা সেদিন চলেছিলেন,Past_Nrm
তিনি চলেছিলেন অতীতে,Past_Nrm
আমি চলেছিলেম অতীতে,Past_Nrm
আগে চলেছিলেম আমরা,Past_Nrm
তুই আজকে চলেছিস,Present_Nrm
তোরা চলেছিস আজ,Present_Nrm
সে এখনই চলেছে,Present_Nrm
তারা চলেছে আজকে,Present_Nrm
আপনি চলেছেন এখন,Present_Nrm
এখন চলেছেন আপনারা,Present_Nrm
আজ চলেছেন উনি,Present_Nrm
উনারা চলেছেন এখনই,Present_Nrm
এখনই চলেছেন তিনি,Present_Nrm
আপনি গতকাল চলেন,Past_Nrm
আপনারা এখনই চলেন,Past_Nrm
উনি আগে চলেন,Past_Nrm
উনারা চলেন পূর্বে,Past_Nrm
আজকে চলেন তিনি,Past_Nrm
তুমি চলো বর্তমানে,Present_Nrm
তোমরা চলো আজ,Present_Nrm
বর্তমানে চাই আমি,Present_Nrm
আমরা চাই আজ,Present_Nrm
তুমি আজকে চাইছ,Present_Nrm
তোমরা আজকে চাইছ,Present_Nrm
আমি এখনই চাইছি,Present_Nrm
আজকে চাইছি আমরা,Present_Nrm
সে গতকাল চাইছিল,Past_Nrm
গতকাল চাইছিল তারা,Past_Nrm
আমি পূর্বে চাইছিলাম,Past_Nrm
আমরা অতীতে চাইছিলাম,Past_Nrm
তুই এখনই চাইছিলি,Past_Nrm
তোরা চাইছিলি সেদিন,Past_Nrm
আমি চাইছিলুম পূর্বে,Past_Nrm
আমরা চাইছিলুম সেদিন,Past_Nrm
আগে চাইছিলে তুমি,Past_Nrm
অতীতে চাইছিলে তোমরা,Past_Nrm
আপনি আজকে চাইছিলেন,Past_Nrm
আপনারা চাইছিলেন অতীতে,Past_Nrm
উনি অতীতে চাইছিলেন,Past_Nrm
উনারা এখন চাইছিলেন,Past_Nrm
পূর্বে চাইছিলেন তিনি,Past_Nrm
আমি চাইছিলেম এখন,Past_Nrm
আমরা সেদিন চাইছিলেম,Past_Nrm
এখনই চাইছিস তুই,Present_Nrm
এখনই চাইছিস তোরা,Present_Nrm
আজ চাইছে সে,Present_Nrm
তারা এখনই চাইছে,Present_Nrm
আজ চাইছেন আপনি,Present_Nrm
আপনারা চাইছেন আজ,Present_Nrm
উনি এখন চাইছেন,Present_Nrm
উনারা চাইছেন বর্তমানে,Present_Nrm
তিনি এখন চাইছেন,Present_Nrm
সে চাইত সেদিন,Past_Nrm
আজকে চাইত তারা,Past_Nrm
আমি চাইতাম এখনই,Past_Nrm
আমরা আজ চাইতাম,Past_Nrm
সেদিন চাইতিস তুই,Past_Nrm
তোরা চাইতিস পূর্বে,Past_Nrm
আমি চাইতুম এখনই,Past_Nrm
আমরা চাইতুম সেদিন,Past_Nrm
এখনই চাইতে তুমি,Past_Nrm
তোমরা গতকাল চাইতে,Past_Nrm
পূর্বে চাইতেছিল সে,Past_Nrm
অতীতে চাইতেছিল তারা,Past_Nrm
আগে চাইতেছিলাম আমি,Past_Nrm
আমরা এখন চাইতেছিলাম,Past_Nrm
তুই আজকে চাইতেছিলি,Past_Nrm
গতকাল চাইতেছিলি তোরা,Past_Nrm
পূর্বে চাইতেছিলুম আমি,Past_Nrm
পূর্বে চাইতেছিলুম আমরা,Past_Nrm
সেদিন চাইতেছিলে তুমি,Past_Nrm
তোমরা চাইতেছিলে আজ,Past_Nrm
আপনি আজকে চাইতেছিলেন,Past_Nrm
আপনারা সেদিন চাইতেছিলেন,Past_Nrm
পূর্বে চাইতেছিলেন উনি,Past_Nrm
উনারা গতকাল চাইতেছিলেন,Past_Nrm
গতকাল চাইতেছিলেন তিনি,Past_Nrm
আমি চাইতেছিলেম পূর্বে,Past_Nrm
আমরা চাইতেছিলেম এখন,Past_Nrm
আপনি চাইতেন পূর্বে,Past_Nrm
আপনারা সেদিন চাইতেন,Past_Nrm
উনি চাইতেন আগে,Past_Nrm
আগে চাইতেন উনারা,Past_Nrm
তিনি চাইতেন আগে,Past_Nrm
আমি আজ চাইতেম,Past_Nrm
এখনই চাইতেম আমরা,Past_Nrm
আমি চাইব এখন,Future_Nrm
আগামিকাল চাইব আমরা,Future_Nrm
কোনো বাক্য তৈরি হয়নি,Error
তুই চাইবি পরশু,Future_Nrm
আজকে চাইবি তোরা,Future_Nrm
তুমি চাইবে এখনই,Future_Nrm
এখনই চাইবে তোমরা,Future_Nrm
আপনি আগামীকাল চাইবেন,Future_Nrm
আপনারা চাইবেন পরশু,Future_Nrm
আগামিকাল চাইবেন উনি,Future_Nrm
উনারা ভবিষ্যতে চাইবেন,Future_Nrm
আগামিকাল চাইবেন তিনি,Future_Nrm
আমি পরশু চাইবো,Future_Nrm
পরশু চাইবো আমরা,Future_Nrm
সে গতকাল চাইল,Past_Nrm
তারা চাইল পূর্বে,Past_Nrm
আমি চাইলাম এখনই,Past_Nrm
পূর্বে চাইলাম আমরা,Past_Nrm
তুই চাইলি আগে,Past_Nrm
তোরা চাইলি অতীতে,Past_Nrm
এখনই চাইলুম আমি,Past_Nrm
আমরা চাইলুম আজ,Past_Nrm
গতকাল চাইলে তুমি,Past_Nrm
আগে চাইলে তোমরা,Past_Nrm
আপনি চাইলেন আজকে,Past_Nrm
আপনারা চাইলেন আগে,Past_Nrm
এখন চাইলেন উনি,Past_Nrm
আগে চাইলেন উনারা,Past_Nrm
তিনি আগে চাইলেন,Past_Nrm
আমি চাইলেম আগে,Past_Nrm
আমরা এখনই চাইলেম,Past_Nrm
তুমি আজকে চাও,Present_Nrm
আজ চাও তোমরা,Present_Nrm
আমার প্রয়োজন চাওয়া,Present_Imp
উচিত চাওয়া আমাদের,Present_Imp
তোমার চাওয়া দরকার,Present_Imp
তোমাদের চাওয়া উচিৎ,Present_Imp
দরকার চাওয়া তোর,Present_Imp
তোদের চাওয়া উচিত,Present_Imp
উচিত চাওয়া তার,Present_Imp
তাদের চাওয়া উচিত,Present_Imp
আপনার উচিত চাওয়া,Present_Imp
প্রয়োজন চাওয়া আপনাদের,Present_Imp
উনার উচিত চাওয়া,Present_Imp
উনাদের প্রয়োজন চাওয়া,Present_Imp
আপনি আজ চাওয়ান,Present_Nrm
আজ চাওয়ান আপনারা,Present_Nrm
বর্তমানে চাওয়ান উনি,Present_Nrm
আজকে চাওয়ান উনারা,Present_Nrm
তিনি চাওয়ান আজকে,Present_Nrm
আমাকে উচিত চাওয়ানো,Present_Nrm
আমাদেরকে চাওয়ানো উচিত,Present_Nrm
তোমাকে প্রয়োজন চাওয়ানো,Present_Nrm
তোমাদেরকে উচিৎ চাওয়ানো,Present_Nrm
প্রয়োজন চাওয়ানো তোকে,Present_Nrm
তোদেরকে প্রয়োজন চাওয়ানো,Present_Nrm
তাকে চাওয়ানো দরকার,Present_Nrm
প্রয়োজন চাওয়ানো তাদেরকে,Present_Nrm
আপনাকে উচিত চাওয়ানো,Present_Nrm
আপনাদেরকে চাওয়ানো প্রয়োজন,Present_Nrm
উনাকে চাওয়ানো উচিৎ,Present_Nrm
উনাদেরকে চাওয়ানো উচিত,Present_Nrm
কোনো বাক্য তৈরি হয়নি,Error
দরকার ডাকা আমার,Present_Imp
আমাদের ডাকা দরকার,Present_Imp
দরকার ডাকা তোমার,Present_Imp
তোমাদের ডাকা প্রয়োজন,Present_Imp
উচিৎ ডাকা তোর,Present_Imp
তোদের উচিৎ ডাকা,Present_Imp
তার দরকার ডাকা,Present_Imp
উচিত ডাকা তাদের,Present_Imp
আপনার ডাকা উচিত,Present_Imp
আপনাদের প্রয়োজন ডাকা,Present_Imp
প্রয়োজন ডাকা উনার,Present_Imp
উনাদের ডাকা উচিত,Present_Imp
আজ ডাকাই আমি,Present_Nrm
আমরা আজ ডাকাই,Present_Nrm
তুমি ডাকাইও এখনই,Present_Nrm
তোমরা আজ ডাকাইও,Present_Nrm
সেদিন ডাকাইত সে,Past_Nrm
তারা এখন ডাকাইত,Past_Nrm
আমি পূর্বে ডাকাইতাম,Past_Nrm
আমরা এখনই ডাকাইতাম,Past_Nrm
তুই সেদিন ডাকাইতিস,Past_Nrm
তোরা ডাকাইতিস আজকে,Past_Nrm
তুমি ডাকাইতে গতকাল,Past_Nrm
এখনই ডাকাইতে তোমরা,Past_Nrm
আজ ডাকাইতেছ তুমি,Present_Nrm
আজকে ডাকাইতেছ তোমরা,Present_Nrm
আমি ডাকাইতেছি এখন,Present_Nrm
