Id,Sentence,Tense
980,তারা সেদিন উঠল,Past_Nrm
981,অতীতে উঠলাম আমি,Past_Nrm
982,আমরা উঠলাম অতীতে,Past_Nrm
983,তুই উঠলি অতীতে,Past_Nrm
984,তোরা পূর্বে উঠলি,Past_Nrm
985,আমি আজকে উঠলুম,Past_Nrm
986,পূর্বে উঠলুম আমরা,Past_Nrm
987,তুমি উঠলে এখনই,Past_Nrm
988,তোমরা উঠলে আজ,Past_Nrm
989,আগে উঠলেন আপনি,Past_Nrm
990,আপনারা উঠলেন এখনই,Past_Nrm
991,উনি এখনই উঠলেন,Past_Nrm
992,আজ উঠলেন উনারা,Past_Nrm
993,তিনি উঠলেন গতকাল,Past_Nrm
994,আমি উঠলেম আগে,Past_Nrm
995,আজকে উঠলেম আমরা,Past_Nrm
996,এখনই কাট তুই,Present_Imp
997,তোরা বর্তমানে কাট,Present_Imp
998,আমার প্রয়োজন কাটা,Present_Imp
999,উচিত কাটা আমাদের,Present_Imp
1000,তোমার দরকার কাটা,Present_Imp
1001,তোমাদের কাটা দরকার,Present_Imp
1002,তোর উচিত কাটা,Present_Imp
1003,তোদের কাটা উচিত,Present_Imp
1004,তার উচিৎ কাটা,Present_Imp
1005,তাদের কাটা দরকার,Present_Imp
1006,আপনার কাটা দরকার,Present_Imp
1007,প্রয়োজন কাটা আপনাদের,Present_Imp
1008,উনার কাটা প্রয়োজন,Present_Imp
1009,উনাদের উচিৎ কাটা,Present_Imp
1010,আমি এখন কাটাই,Present_Nrm
1011,আমরা আজ কাটাই,Present_Nrm
1012,তুমি আজ কাটাইও,Present_Nrm
1013,বর্তমানে কাটাইও তোমরা,Present_Nrm
1014,সে কাটাইত অতীতে,Past_Nrm
1015,তারা আজকে কাটাইত,Past_Nrm
1016,আমি কাটাইতাম আজকে,Past_Nrm
1017,আজ কাটাইতাম আমরা,Past_Nrm
1018,তুই সেদিন কাটাইতিস,Past_Nrm
1019,তোরা কাটাইতিস পূর্বে,Past_Nrm
1020,তুমি এখনই কাটাইতে,Past_Nrm
1021,গতকাল কাটাইতে তোমরা,Past_Nrm
1022,তুমি কাটাইতেছ আজকে,Present_Nrm
1023,এখন কাটাইতেছ তোমরা,Present_Nrm
1024,আমি কাটাইতেছি আজ,Present_Nrm
1025,আমরা বর্তমানে কাটাইতেছি,Present_Nrm
1026,সে কাটাইতেছিল পূর্বে,Past_Nrm
1027,তারা কাটাইতেছিল আজ,Past_Nrm
1028,আমি কাটাইতেছিলাম আগে,Past_Nrm
1029,আমরা কাটাইতেছিলাম এখনই,Past_Nrm
1030,আগে কাটাইতেছিলি তুই,Past_Nrm
1031,তোরা আজকে কাটাইতেছিলি,Past_Nrm
1032,তুমি গতকাল কাটাইতেছিলে,Past_Nrm
1033,তোমরা আজকে কাটাইতেছিলে,Past_Nrm
1034,আপনি কাটাইতেছিলেন আগে,Past_Nrm
1035,আপনারা কাটাইতেছিলেন গতকাল,Past_Nrm
1036,উনি সেদিন কাটাইতেছিলেন,Past_Nrm
1037,উনারা গতকাল কাটাইতেছিলেন,Past_Nrm
1038,তিনি আজ কাটাইতেছিলেন,Past_Nrm
1039,তুই আজ কাটাইতেছিস,Present_Nrm
1040,তোরা বর্তমানে কাটাইতেছিস,Present_Nrm
1041,সে কাটাইতেছে বর্তমানে,Present_Nrm
1042,এখনই কাটাইতেছে তারা,Present_Nrm
1043,আজকে কাটাইতেছেন আপনি,Present_Nrm
1044,এখনই কাটাইতেছেন আপনারা,Present_Nrm
1045,আজ কাটাইতেছেন উনি,Present_Nrm
1046,উনারা কাটাইতেছেন এখনই,Present_Nrm
1047,তিনি কাটাইতেছেন এখন,Present_Nrm
1048,আজকে কাটাইতেন আপনি,Past_Nrm
1049,আপনারা পূর্বে কাটাইতেন,Past_Nrm
1050,আগে কাটাইতেন উনি,Past_Nrm
1051,উনারা আজ কাটাইতেন,Past_Nrm
1052,অতীতে কাটাইতেন তিনি,Past_Nrm
1053,আমি কাটাইব আগামিকাল,Future_Nrm
1054,আমরা কাটাইব ভবিষ্যতে,Future_Nrm
1055,এখন কাটাইবি তুই,Future_Nrm
1056,তোরা কাটাইবি এখন,Future_Nrm
1057,আজকে কাটাইবে তুমি,Future_Nrm
1058,আজ কাটাইবে তোমরা,Future_Nrm
1059,পরশু কাটাইবেন আপনি,Future_Nrm
1060,এখন কাটাইবেন আপনারা,Future_Nrm
1061,ভবিষ্যতে কাটাইবেন উনি,Future_Nrm
1062,উনারা ভবিষ্যতে কাটাইবেন,Future_Nrm
1063,এখন কাটাইবেন তিনি,Future_Nrm
1064,তুমি কাটাইয়াছ এখন,Present_Nrm
1065,তোমরা এখন কাটাইয়াছ,Present_Nrm
1066,আমি কাটাইয়াছি এখনই,Present_Nrm
1067,আমরা কাটাইয়াছি আজকে,Present_Nrm
1068,সে এখনই কাটাইয়াছিল,Past_Nrm
1069,তারা আজকে কাটাইয়াছিল,Past_Nrm
1070,আমি কাটাইয়াছিলাম পূর্বে,Past_Nrm
1071,আমরা এখনই কাটাইয়াছিলাম,Past_Nrm
1072,তুই কাটাইয়াছিলি এখনই,Past_Nrm
1073,তোরা কাটাইয়াছিলি গতকাল,Past_Nrm
1074,তুমি পূর্বে কাটাইয়াছিলে,Past_Nrm
1075,তোমরা সেদিন কাটাইয়াছিলে,Past_Nrm
1076,আপনি আজ কাটাইয়াছিলেন,Past_Nrm
1077,আপনারা পূর্বে কাটাইয়াছিলেন,Past_Nrm
1078,উনি কাটাইয়াছিলেন এখন,Past_Nrm
1079,আজ কাটাইয়াছিলেন উনারা,Past_Nrm
1080,আজকে কাটাইয়াছিলেন তিনি,Past_Nrm
1081,তুই এখনই কাটাইয়াছিস,Present_Nrm
1082,আজ কাটাইয়াছিস তোরা,Present_Nrm
1083,সে কাটাইয়াছে বর্তমানে,Present_Nrm
1084,তারা কাটাইয়াছে এখন,Present_Nrm
1085,আপনি এখনই কাটাইয়াছেন,Present_Nrm
1086,আজ কাটাইয়াছেন আপনারা,Present_Nrm
1087,এখন কাটাইয়াছেন উনি,Present_Nrm
1088,উনারা এখনই কাটাইয়াছেন,Present_Nrm
1089,তিনি কাটাইয়াছেন এখনই,Present_Nrm
1090,আজ কাটাইয়ো তুমি,Present_Nrm
1091,তোমরা আজ কাটাইয়ো,Present_Nrm
1092,সে পূর্বে কাটাইল,Past_Nrm
1093,তারা কাটাইল সেদিন,Past_Nrm
1094,আমি এখন কাটাইলাম,Past_Nrm
1095,পূর্বে কাটাইলাম আমরা,Past_Nrm
1096,আজ কাটাইলি তুই,Past_Nrm
1097,তোরা আজ কাটাইলি,Past_Nrm
1098,পূর্বে কাটাইলে তুমি,Past_Nrm
1099,পূর্বে কাটাইলে তোমরা,Past_Nrm
1100,গতকাল কাটাইলেন আপনি,Past_Nrm
1101,আজ কাটাইলেন আপনারা,Past_Nrm
1102,উনি কাটাইলেন গতকাল,Past_Nrm
1103,উনারা আজ কাটাইলেন,Past_Nrm
1104,এখন কাটাইলেন তিনি,Past_Nrm
1105,এখন কাটাও তুমি,Present_Nrm
1106,তোমরা কাটাও এখন,Present_Nrm
1107,সে আজকে কাটাক,Present_Nrm
1108,তারা কাটাক আজকে,Present_Nrm
1109,আজ কাটাচ্ছ তুমি,Present_Nrm
1110,তোমরা কাটাচ্ছ এখন,Present_Nrm
1111,আমি কাটাচ্ছি বর্তমানে,Present_Nrm
1112,আমরা কাটাচ্ছি এখনই,Present_Nrm
1113,সে এখনই কাটাচ্ছিল,Past_Nrm
1114,তারা সেদিন কাটাচ্ছিল,Past_Nrm
1115,আমি গতকাল কাটাচ্ছিলাম,Past_Nrm
1116,আমরা কাটাচ্ছিলাম সেদিন,Past_Nrm
1117,এখন কাটাচ্ছিলি তুই,Past_Nrm
1118,তোরা পূর্বে কাটাচ্ছিলি,Past_Nrm
1119,গতকাল কাটাচ্ছিলুম আমি,Past_Nrm
1120,এখন কাটাচ্ছিলুম আমরা,Past_Nrm
1121,অতীতে কাটাচ্ছিলে তুমি,Past_Nrm
1122,তোমরা আগে কাটাচ্ছিলে,Past_Nrm
1123,আপনি গতকাল কাটাচ্ছিলেন,Past_Nrm
1124,গতকাল কাটাচ্ছিলেন আপনারা,Past_Nrm
1125,উনি অতীতে কাটাচ্ছিলেন,Past_Nrm
1126,উনারা কাটাচ্ছিলেন আগে,Past_Nrm
1127,তিনি কাটাচ্ছিলেন পূর্বে,Past_Nrm
1128,গতকাল কাটাচ্ছিলেম আমি,Past_Nrm
1129,আমরা কাটাচ্ছিলেম আগে,Past_Nrm
1130,তুই বর্তমানে কাটাচ্ছিস,Present_Nrm
1131,এখন কাটাচ্ছিস তোরা,Present_Nrm
1132,সে এখন কাটাচ্ছে,Present_Nrm
1133,এখনই কাটাচ্ছে তারা,Present_Nrm
1134,আপনি কাটাচ্ছেন আজ,Present_Nrm
1135,আপনারা কাটাচ্ছেন আজকে,Present_Nrm
1136,উনি বর্তমানে কাটাচ্ছেন,Present_Nrm
1137,উনারা এখন কাটাচ্ছেন,Present_Nrm
1138,আজকে কাটাচ্ছেন তিনি,Present_Nrm
1139,সে সেদিন কাটাত,Past_Nrm
1140,আগে কাটাত তারা,Past_Nrm
1141,আমি কাটাতাম গতকাল,Past_Nrm
1142,আমরা কাটাতাম আজকে,Past_Nrm
1143,তুই কাটাতিস এখন,Past_Nrm
1144,তোরা এখনই কাটাতিস,Past_Nrm
1145,এখনই কাটাতুম আমি,Past_Nrm
1146,আমরা সেদিন কাটাতুম,Past_Nrm
1147,আজ কাটাতে তুমি,Past_Nrm
1148,এখন কাটাতে তোমরা,Past_Nrm
1149,আপনি গতকাল কাটাতেন,Past_Nrm
1150,আপনারা এখন কাটাতেন,Past_Nrm
1151,উনি কাটাতেন এখনই,Past_Nrm
1152,পূর্বে কাটাতেন উনারা,Past_Nrm
1153,তিনি এখন কাটাতেন,Past_Nrm
1154,অতীতে কাটাতেম আমি,Past_Nrm
1155,আমরা কাটাতেম পূর্বে,Past_Nrm
1156,এখন কাটান আপনি,Present_Nrm
1157,আপনারা আজ কাটান,Present_Nrm
1158,উনি আজকে কাটান,Present_Nrm
1159,আজ কাটান উনারা,Present_Nrm
1160,তিনি বর্তমানে কাটান,Present_Nrm
1161,দরকার কাটানো আমাকে,Present_Nrm
1162,প্রয়োজন কাটানো আমাদেরকে,Present_Nrm
1163,প্রয়োজন কাটানো তোমাকে,Present_Nrm
1164,তোমাদেরকে কাটানো উচিৎ,Present_Nrm
1165,তোকে উচিত কাটানো,Present_Nrm
1166,তোদেরকে উচিৎ কাটানো,Present_Nrm
1167,তাকে দরকার কাটানো,Present_Nrm
1168,দরকার কাটানো তাদেরকে,Present_Nrm
1169,আপনাকে কাটানো উচিত,Present_Nrm
1170,আপনাদেরকে কাটানো উচিত,Present_Nrm
1171,উনাকে কাটানো উচিত,Present_Nrm
1172,উনাদেরকে কাটানো প্রয়োজন,Present_Nrm
1173,আমি কাটাব পরশু,Future_Nrm
1174,আমরা আজকে কাটাব,Future_Nrm
1175,আগামিকাল কাটাবি তুই,Future_Nrm
1176,তোরা কাটাবি এখনই,Future_Nrm
1177,ভবিষ্যতে কাটাবে তুমি,Future_Nrm
1178,তোমরা কাটাবে এখন,Future_Nrm
1179,আপনি কাটাবেন এখন,Future_Nrm
1180,আপনারা কাটাবেন আজ,Future_Nrm
1181,উনি এখনই কাটাবেন,Future_Nrm
1182,উনারা আজকে কাটাবেন,Future_Nrm
1183,তিনি এখন কাটাবেন,Future_Nrm
1184,আমি কাটাবো আগামিকাল,Future_Nrm
1185,শীঘ্রই কাটাবো আমরা,Future_Nrm
1186,সে আজ কাটায়,Present_Nrm
1187,তারা বর্তমানে কাটায়,Present_Nrm
1188,সে কাটাল পূর্বে,Past_Nrm
1189,তারা পূর্বে কাটাল,Past_Nrm
1190,গতকাল কাটালাম আমি,Past_Nrm
1191,আমরা আজকে কাটালাম,Past_Nrm
1192,তুই কাটালি আজকে,Past_Nrm
1193,তোরা অতীতে কাটালি,Past_Nrm
1194,এখন কাটালুম আমি,Past_Nrm
1195,আমরা কাটালুম সেদিন,Past_Nrm
1196,এখন কাটালে তুমি,Past_Nrm
1197,তোমরা এখনই কাটালে,Past_Nrm
1198,আপনি এখনই কাটালেন,Past_Nrm
1199,আপনারা আগে কাটালেন,Past_Nrm
1200,এখনই কাটালেন উনি,Past_Nrm
1201,উনারা এখন কাটালেন,Past_Nrm
1202,তিনি কাটালেন আজকে,Past_Nrm
1203,সেদিন কাটালেম আমি,Past_Nrm
1204,আজকে কাটালেম আমরা,Past_Nrm
1205,তুই কাটাস আজকে,Present_Nrm
1206,বর্তমানে কাটাস তোরা,Present_Nrm
1207,এখন কাটি আমি,Present_Nrm
1208,আমরা কাটি এখনই,Present_Nrm
1209,তুমি কাটিও বর্তমানে,Present_Nrm
1210,তোমরা কাটিও এখন,Present_Nrm
1211,সে আগে কাটিত,Past_Nrm
1212,তারা সেদিন কাটিত,Past_Nrm
1213,পূর্বে কাটিতাম আমি,Past_Nrm
1214,আজকে কাটিতাম আমরা,Past_Nrm
1215,তুই এখন কাটিতিস,Past_Nrm
1216,তোরা কাটিতিস এখনই,Past_Nrm
1217,তুমি এখনই কাটিতে,Past_Nrm
1218,তোমরা গতকাল কাটিতে,Past_Nrm
1219,তুমি আজকে কাটিতেছ,Present_Nrm
1220,এখনই কাটিতেছ তোমরা,Present_Nrm
1221,আজ কাটিতেছি আমি,Present_Nrm
1222,আমরা আজকে কাটিতেছি,Present_Nrm
1223,সেদিন কাটিতেছিল সে,Past_Nrm
1224,তারা কাটিতেছিল গতকাল,Past_Nrm
1225,আজকে কাটিতেছিলাম আমি,Past_Nrm
1226,আমরা কাটিতেছিলাম গতকাল,Past_Nrm
1227,তুই অতীতে কাটিতেছিলি,Past_Nrm
1228,তোরা আগে কাটিতেছিলি,Past_Nrm
1229,সেদিন কাটিতেছিলে তুমি,Past_Nrm
1230,অতীতে কাটিতেছিলে তোমরা,Past_Nrm
1231,আপনি কাটিতেছিলেন আগে,Past_Nrm
1232,আপনারা কাটিতেছিলেন আজ,Past_Nrm
1233,উনি কাটিতেছিলেন আগে,Past_Nrm
1234,এখনই কাটিতেছিলেন উনারা,Past_Nrm
1235,তিনি সেদিন কাটিতেছিলেন,Past_Nrm
1236,তুই এখন কাটিতেছিস,Present_Nrm
1237,তোরা আজকে কাটিতেছিস,Present_Nrm
1238,এখনই কাটিতেছে সে,Present_Nrm
1239,তারা এখন কাটিতেছে,Present_Nrm
1240,আপনি কাটিতেছেন আজ,Present_Nrm
1241,আপনারা কাটিতেছেন বর্তমানে,Present_Nrm
1242,বর্তমানে কাটিতেছেন উনি,Present_Nrm
1243,উনারা কাটিতেছেন বর্তমানে,Present_Nrm
1244,এখনই কাটিতেছেন তিনি,Present_Nrm
1245,আপনি কাটিতেন গতকাল,Past_Nrm
1246,আজকে কাটিতেন আপনারা,Past_Nrm
1247,সেদিন কাটিতেন উনি,Past_Nrm
1248,উনারা পূর্বে কাটিতেন,Past_Nrm
1249,তিনি এখন কাটিতেন,Past_Nrm
1250,আমি এখনই কাটিব,Future_Nrm
1251,আমরা শীঘ্রই কাটিব,Future_Nrm
1252,তুই কাটিবি আজকে,Future_Nrm
1253,পরশু কাটিবি তোরা,Future_Nrm
1254,আজকে কাটিবে তুমি,Future_Nrm
1255,তোমরা আগামিকাল কাটিবে,Future_Nrm
1256,এখন কাটিবেন আপনি,Future_Nrm
1257,আপনারা কাটিবেন আগামিকাল,Future_Nrm
1258,এখন কাটিবেন উনি,Future_Nrm
1259,আগামিকাল কাটিবেন উনারা,Future_Nrm
1260,তিনি আগামিকাল কাটিবেন,Future_Nrm
1261,তুমি আজ কাটিয়াছ,Present_Nrm
1262,এখনই কাটিয়াছ তোমরা,Present_Nrm
1263,আমি কাটিয়াছি এখনই,Present_Nrm
1264,আজকে কাটিয়াছি আমরা,Present_Nrm
1265,সে এখন কাটিয়াছিল,Past_Nrm
1266,তারা কাটিয়াছিল এখন,Past_Nrm
1267,আমি কাটিয়াছিলাম সেদিন,Past_Nrm
1268,আমরা অতীতে কাটিয়াছিলাম,Past_Nrm
1269,আজকে কাটিয়াছিলি তুই,Past_Nrm
1270,তোরা আগে কাটিয়াছিলি,Past_Nrm
1271,তুমি আজকে কাটিয়াছিলে,Past_Nrm
1272,তোমরা আগে কাটিয়াছিলে,Past_Nrm
1273,আপনি কাটিয়াছিলেন এখন,Past_Nrm
1274,আপনারা এখন কাটিয়াছিলেন,Past_Nrm
1275,উনি অতীতে কাটিয়াছিলেন,Past_Nrm
1276,উনারা কাটিয়াছিলেন এখনই,Past_Nrm
1277,তিনি কাটিয়াছিলেন এখন,Past_Nrm
1278,আজ কাটিয়াছিস তুই,Present_Nrm
1279,এখনই কাটিয়াছিস তোরা,Present_Nrm
1280,সে কাটিয়াছে এখনই,Present_Nrm
1281,তারা এখন কাটিয়াছে,Present_Nrm
1282,বর্তমানে কাটিয়াছেন আপনি,Present_Nrm
1283,আপনারা কাটিয়াছেন বর্তমানে,Present_Nrm
1284,উনি কাটিয়াছেন এখনই,Present_Nrm
1285,উনারা কাটিয়াছেন এখন,Present_Nrm
1286,আজকে কাটিয়াছেন তিনি,Present_Nrm
1287,বর্তমানে কাটিয়েছ তুমি,Present_Nrm
1288,আজ কাটিয়েছ তোমরা,Present_Nrm
1289,আমি এখন কাটিয়েছি,Present_Nrm
1290,আমরা কাটিয়েছি এখনই,Present_Nrm
1291,সে কাটিয়েছিল এখনই,Past_Nrm
1292,তারা সেদিন কাটিয়েছিল,Past_Nrm
1293,আমি কাটিয়েছিলাম অতীতে,Past_Nrm
1294,আমরা কাটিয়েছিলাম গতকাল,Past_Nrm
1295,এখন কাটিয়েছিলি তুই,Past_Nrm
1296,তোরা কাটিয়েছিলি আগে,Past_Nrm
1297,আগে কাটিয়েছিলুম আমি,Past_Nrm
1298,আমরা আজকে কাটিয়েছিলুম,Past_Nrm
1299,আজ কাটিয়েছিলে তুমি,Past_Nrm
1300,তোমরা কাটিয়েছিলে আজকে,Past_Nrm
1301,আপনি আজ কাটিয়েছিলেন,Past_Nrm
1302,সেদিন কাটিয়েছিলেন আপনারা,Past_Nrm
1303,পূর্বে কাটিয়েছিলেন উনি,Past_Nrm
1304,উনারা কাটিয়েছিলেন আগে,Past_Nrm
1305,তিনি কাটিয়েছিলেন সেদিন,Past_Nrm
1306,আমি কাটিয়েছিলেম পূর্বে,Past_Nrm
1307,আমরা অতীতে কাটিয়েছিলেম,Past_Nrm
1308,তুই এখনই কাটিয়েছিস,Present_Nrm
1309,বর্তমানে কাটিয়েছিস তোরা,Present_Nrm
1310,সে বর্তমানে কাটিয়েছে,Present_Nrm
1311,তারা কাটিয়েছে এখন,Present_Nrm
1312,আপনি আজকে কাটিয়েছেন,Present_Nrm
1313,আপনারা কাটিয়েছেন আজকে,Present_Nrm
1314,এখন কাটিয়েছেন উনি,Present_Nrm
1315,উনারা আজ কাটিয়েছেন,Present_Nrm
1316,তিনি আজ কাটিয়েছেন,Present_Nrm
1317,এখনই কাটিয়ো তুমি,Present_Nrm
1318,বর্তমানে কাটিয়ো তোমরা,Present_Nrm
1319,সে আজ কাটিল,Past_Nrm
1320,তারা কাটিল গতকাল,Past_Nrm
1321,আমি কাটিলাম আজ,Past_Nrm
1322,অতীতে কাটিলাম আমরা,Past_Nrm
1323,তুই কাটিলি পূর্বে,Past_Nrm
1324,তোরা কাটিলি আজ,Past_Nrm
1325,আজকে কাটিলে তুমি,Past_Nrm
1326,তোমরা কাটিলে পূর্বে,Past_Nrm
1327,আপনি আজকে কাটিলেন,Past_Nrm
1328,আপনারা আজ কাটিলেন,Past_Nrm
1329,উনি আজ কাটিলেন,Past_Nrm
1330,উনারা পূর্বে কাটিলেন,Past_Nrm
1331,এখন কাটিলেন তিনি,Past_Nrm
1332,তুই কাটিস আজকে,Present_Nrm
1333,তোরা কাটিস এখনই,Present_Nrm
1334,আজ কাটুক সে,Present_Nrm
1335,এখন কাটুক তারা,Present_Nrm
1336,আপনি কাটুন আজকে,Present_Nrm
1337,আপনারা কাটুন এখন,Present_Nrm
1338,উনি আজকে কাটুন,Present_Nrm
1339,উনারা কাটুন আজ,Present_Nrm
1340,তিনি কাটুন এখন,Present_Nrm
1341,সে কাটে আজ,Present_Nrm
1342,তারা আজ কাটে,Present_Nrm
1343,আপনি এখন কাটেন,Present_Nrm
1344,আপনারা কাটেন এখনই,Present_Nrm
1345,উনি কাটেন বর্তমানে,Present_Nrm
1346,উনারা এখনই কাটেন,Present_Nrm
1347,তিনি আজকে কাটেন,Present_Nrm
1348,আজ কাটছ তুমি,Present_Nrm
1349,আজকে কাটছ তোমরা,Present_Nrm
1350,আমি এখন কাটছি,Present_Nrm
1351,এখনই কাটছি আমরা,Present_Nrm
1352,সে কাটছিল গতকাল,Past_Nrm
1353,অতীতে কাটছিল তারা,Past_Nrm
1354,পূর্বে কাটছিলাম আমি,Past_Nrm
1355,আমরা পূর্বে কাটছিলাম,Past_Nrm
1356,তুই কাটছিলি আজ,Past_Nrm
1357,তোরা এখনই কাটছিলি,Past_Nrm
1358,আমি কাটছিলুম পূর্বে,Past_Nrm
1359,আমরা এখন কাটছিলুম,Past_Nrm
1360,তুমি গতকাল কাটছিলে,Past_Nrm
1361,তোমরা কাটছিলে আগে,Past_Nrm
1362,আগে কাটছিলেন আপনি,Past_Nrm
1363,গতকাল কাটছিলেন আপনারা,Past_Nrm
1364,পূর্বে কাটছিলেন উনি,Past_Nrm
1365,আজ কাটছিলেন উনারা,Past_Nrm
1366,পূর্বে কাটছিলেন তিনি,Past_Nrm
1367,গতকাল কাটছিলেম আমি,Past_Nrm
1368,আমরা এখনই কাটছিলেম,Past_Nrm
1369,তুই কাটছিস বর্তমানে,Present_Nrm
1370,তোরা কাটছিস আজকে,Present_Nrm
1371,সে আজকে কাটছে,Present_Nrm
1372,তারা আজ কাটছে,Present_Nrm
1373,বর্তমানে কাটছেন আপনি,Present_Nrm
1374,আপনারা আজ কাটছেন,Present_Nrm
1375,উনি কাটছেন বর্তমানে,Present_Nrm
1376,উনারা আজকে কাটছেন,Present_Nrm
1377,তিনি আজকে কাটছেন,Present_Nrm
1378,আজকে কাটত সে,Past_Nrm
1379,আজ কাটত তারা,Past_Nrm
1380,আমি কাটতাম সেদিন,Past_Nrm
1381,গতকাল কাটতাম আমরা,Past_Nrm
1382,তুই গতকাল কাটতিস,Past_Nrm
1383,গতকাল কাটতিস তোরা,Past_Nrm
1384,পূর্বে কাটতুম আমি,Past_Nrm
1385,আমরা পূর্বে কাটতুম,Past_Nrm
1386,তুমি গতকাল কাটতে,Past_Nrm
1387,সেদিন কাটতে তোমরা,Past_Nrm
1388,আপনি কাটতেন সেদিন,Past_Nrm
1389,আপনারা আজ কাটতেন,Past_Nrm
1390,উনি আগে কাটতেন,Past_Nrm
1391,পূর্বে কাটতেন উনারা,Past_Nrm
1392,তিনি আজ কাটতেন,Past_Nrm
1393,পূর্বে কাটতেম আমি,Past_Nrm
1394,সেদিন কাটতেম আমরা,Past_Nrm
1395,আমাকে উচিত কাটনো,Present_Nrm
1396,উচিত কাটনো আমাদেরকে,Present_Nrm
1397,উচিত কাটনো তোমাকে,Present_Nrm
1398,দরকার কাটনো তোমাদেরকে,Present_Nrm
1399,তোকে উচিত কাটনো,Present_Nrm
1400,উচিত কাটনো তোদেরকে,Present_Nrm
1401,তাকে কাটনো উচিৎ,Present_Nrm
1402,তাদেরকে প্রয়োজন কাটনো,Present_Nrm
1403,আপনাকে কাটনো প্রয়োজন,Present_Nrm
1404,প্রয়োজন কাটনো আপনাদেরকে,Present_Nrm
1405,দরকার কাটনো উনাকে,Present_Nrm
1406,উনাদেরকে প্রয়োজন কাটনো,Present_Nrm
1407,আমি আজকে কাটব,Future_Nrm
1408,আমরা কাটব আজ,Future_Nrm
1409,তুই কাটবি ভবিষ্যতে,Future_Nrm
1410,শীঘ্রই কাটবি তোরা,Future_Nrm
1411,তুমি কাটবে ভবিষ্যতে,Future_Nrm
1412,তোমরা আগামিকাল কাটবে,Future_Nrm
1413,আপনি কাটবেন আজ,Future_Nrm
1414,আপনারা কাটবেন আজকে,Future_Nrm
1415,এখনই কাটবেন উনি,Future_Nrm
1416,উনারা আগামীকাল কাটবেন,Future_Nrm
1417,তিনি শীঘ্রই কাটবেন,Future_Nrm
1418,আমি কাটবো ভবিষ্যতে,Future_Nrm
1419,আমরা কাটবো আজকে,Future_Nrm
1420,এখন কাটল সে,Past_Nrm
1421,তারা পূর্বে কাটল,Past_Nrm
1422,আমি কাটলাম সেদিন,Past_Nrm
1423,এখন কাটলাম আমরা,Past_Nrm
1424,তুই এখনই কাটলি,Past_Nrm
1425,তোরা সেদিন কাটলি,Past_Nrm
1426,আমি আজ কাটলুম,Past_Nrm
1427,আমরা কাটলুম সেদিন,Past_Nrm
1428,তুমি কাটলে আগে,Past_Nrm
1429,গতকাল কাটলে তোমরা,Past_Nrm
1430,আপনি কাটলেন সেদিন,Past_Nrm
1431,এখনই কাটলেন আপনারা,Past_Nrm
1432,উনি সেদিন কাটলেন,Past_Nrm
1433,উনারা এখন কাটলেন,Past_Nrm
1434,অতীতে কাটলেন তিনি,Past_Nrm
1435,আমি কাটলেম আজ,Past_Nrm
1436,পূর্বে কাটলেম আমরা,Past_Nrm
1437,তুই এখন কাঁদ,Present_Imp
1438,তোরা কাঁদ এখন,Present_Imp
1439,আমার কাঁদা দরকার,Present_Imp
1440,প্রয়োজন কাঁদা আমাদের,Present_Imp
1441,তোমার দরকার কাঁদা,Present_Imp
1442,তোমাদের কাঁদা দরকার,Present_Imp
1443,প্রয়োজন কাঁদা তোর,Present_Imp
1444,প্রয়োজন কাঁদা তোদের,Present_Imp
1445,তার কাঁদা উচিত,Present_Imp
1446,তাদের কাঁদা উচিৎ,Present_Imp
1447,উচিৎ কাঁদা আপনার,Present_Imp
1448,আপনাদের দরকার কাঁদা,Present_Imp
1449,দরকার কাঁদা উনার,Present_Imp
1450,উনাদের উচিৎ কাঁদা,Present_Imp
1451,আমি এখনই কাঁদাই,Present_Nrm
1452,আজকে কাঁদাই আমরা,Present_Nrm
1453,তুমি কাঁদাইও এখন,Present_Nrm
1454,এখন কাঁদাইও তোমরা,Present_Nrm
1455,সে কাঁদাইত এখন,Past_Nrm
1456,তারা আজ কাঁদাইত,Past_Nrm
1457,আগে কাঁদাইতাম আমি,Past_Nrm
1458,আমরা কাঁদাইতাম এখনই,Past_Nrm
1459,পূর্বে কাঁদাইতিস তুই,Past_Nrm
1460,তোরা সেদিন কাঁদাইতিস,Past_Nrm
1461,তুমি আজকে কাঁদাইতে,Past_Nrm
1462,তোমরা কাঁদাইতে পূর্বে,Past_Nrm
1463,এখনই কাঁদাইতেছ তুমি,Present_Nrm
1464,তোমরা কাঁদাইতেছ এখন,Present_Nrm
1465,আমি কাঁদাইতেছি আজকে,Present_Nrm
1466,আমরা বর্তমানে কাঁদাইতেছি,Present_Nrm
1467,এখনই কাঁদাইতেছিল সে,Past_Nrm
1468,সেদিন কাঁদাইতেছিল তারা,Past_Nrm
1469,গতকাল কাঁদাইতেছিলাম আমি,Past_Nrm
1470,অতীতে কাঁদাইতেছিলাম আমরা,Past_Nrm
1471,তুই এখন কাঁদাইতেছিলি,Past_Nrm
1472,তোরা আজ কাঁদাইতেছিলি,Past_Nrm
1473,তুমি এখন কাঁদাইতেছিলে,Past_Nrm
1474,এখনই কাঁদাইতেছিলে তোমরা,Past_Nrm
1475,আজ কাঁদাইতেছিলেন আপনি,Past_Nrm
1476,সেদিন কাঁদাইতেছিলেন আপনারা,Past_Nrm
1477,এখনই কাঁদাইতেছিলেন উনি,Past_Nrm
1478,উনারা আগে কাঁদাইতেছিলেন,Past_Nrm
